year_month,state,district,enrolment_total,demographic_total,biometric_total,demo_update_rate,bio_update_rate,update_imbalance,demo_mom_delta,bio_mom_delta,z_demo_update_rate,z_bio_update_rate,ml_anomaly_score
2025-01,Andhra Pradesh,Alluri Sitharama Raju,15,5446.0,11152.0,340.375,697.0,-0.3437556479305982,,,3.173716359128816,3.17241310954877,-1
2025-01,Andhra Pradesh,Ananthapur,36,10534.0,61739.0,284.7027027027027,1668.6216216216217,-0.7084843788914409,,,3.15630946266444,3.1744834553156007,-1
2025-01,Andhra Pradesh,Ananthapuramu,57,32335.0,83413.0,557.5,1438.155172413793,-0.4412824300857891,,,3.173662587999228,3.175182502994139,-1
2025-01,Andhra Pradesh,Annamayya,12,20756.0,5952.0,1596.6153846153843,457.84615384615387,0.5542700962222472,,,3.174519295214442,3.175151153088087,-1
2025-01,Andhra Pradesh,Bapatla,10,6061.0,3161.0,551.0,287.3636363636364,0.3144313130217933,,,3.163722253386472,3.1556083391390097,-1
2025-01,Andhra Pradesh,Chittoor,163,87043.0,162842.0,530.75,992.939024390244,-0.3033343204501252,,,3.170398433078823,3.17295296438966,-1
2025-02,Andhra Pradesh,Chittoor,338,4325.0,3057.0,12.75811209439528,9.017699115044248,0.1717459027495598,-82718.0,-159785.0,-0.3215174475814684,-0.3192119553937935,-1
2025-01,Andhra Pradesh,East Godavari,171,68086.0,194787.0,395.8488372093023,1132.4825581395348,-0.4819837640846945,,,3.164307716541688,3.173863152819515,-1
2025-02,Andhra Pradesh,East Godavari,351,4086.0,3641.0,11.607954545454543,10.34375,0.0575828157349896,-64000.0,-191146.0,-0.3532669247380511,-0.3173662447724231,-1
2025-01,Andhra Pradesh,Eluru,6,5330.0,5236.0,761.4285714285714,748.0,0.0088956184347496,,,3.1683660071021253,3.174766179479509,-1
2025-01,Andhra Pradesh,Guntur,187,89212.0,195052.0,474.531914893617,1037.5106382978724,-0.3723286370112395,,,3.1706582228381985,3.174137748130199,-1
2025-02,Andhra Pradesh,Guntur,386,4186.0,3778.0,10.81653746770026,9.762273901808786,0.0512241054613935,-85026.0,-191274.0,-0.3261129592459842,-0.3115242830737838,-1
2025-01,Andhra Pradesh,Kakinada,20,13899.0,7003.0,661.8571428571429,333.4761904761905,0.3299047983543032,,,3.16878468607682,3.170841617959114,-1
2025-01,Andhra Pradesh,Krishna,133,43114.0,152991.0,321.74626865671644,1141.7238805970148,-0.560293922674472,,,3.167844584108606,3.174448150866343,-1
2025-02,Andhra Pradesh,Krishna,345,3609.0,3168.0,10.43063583815029,9.15606936416185,0.065063440542933,-39505.0,-149823.0,-0.350912508700804,-0.3146156722271063,-1
2025-01,Andhra Pradesh,Kurnool,276,100584.0,239993.0,363.1191335740072,866.4007220216606,-0.409330608553694,,,3.17252973612489,3.1741649142212336,-1
2025-02,Andhra Pradesh,Kurnool,493,4063.0,4626.0,8.224696356275304,9.364372469635628,-0.0647871116225546,-96521.0,-235367.0,-0.3118064573604249,-0.3069569918319731,-1
2025-01,Andhra Pradesh,N. T. R,16,19915.0,9005.0,1171.470588235294,529.7058823529412,0.3772345354586632,,,3.158358186520794,3.174586007722123,-1
2025-01,Andhra Pradesh,Nandyal,22,17518.0,6434.0,761.6521739130435,279.7391304347826,0.4627395315826828,,,3.1700284263667364,3.1607136800472837,-1
2025-01,Andhra Pradesh,Palnadu,21,14796.0,6746.0,672.5454545454545,306.6363636363636,0.373671262126909,,,3.1667540888000416,3.170884566346657,-1
2025-01,Andhra Pradesh,Parvathipuram Manyam,8,3514.0,7393.0,390.44444444444446,821.4444444444445,-0.3556105610561056,,,3.1652472982880107,3.174354541411223,-1
2025-02,Andhra Pradesh,Prakasam,339,3973.0,2948.0,11.68529411764706,8.670588235294117,0.1480785900028893,-38430.0,-140908.0,-0.4608002428507373,-0.3421561165105442,-1
2025-01,Andhra Pradesh,Sri Sathya Sai,16,9534.0,6497.0,560.8235294117648,382.1764705882353,0.1894336327345309,,,3.163508022333727,3.174497457909747,-1
2025-01,Andhra Pradesh,Srikakulam,112,73806.0,133231.0,653.1504424778761,1179.0353982300885,-0.287024604178943,,,3.168148459552029,3.173552658360642,-1
2025-02,Andhra Pradesh,Srikakulam,181,3165.0,2360.0,17.39010989010989,12.967032967032967,0.1456749909518639,-70641.0,-130871.0,-0.3158236608348048,-0.3094004034383005,-1
2025-01,Andhra Pradesh,Visakhapatnam,149,78273.0,213914.0,521.82,1426.0933333333332,-0.4642250879570687,,,3.1692394439725557,3.174395634929553,-1
2025-02,Andhra Pradesh,Visakhapatnam,328,4258.0,4056.0,12.94224924012158,12.328267477203648,0.0242934455802766,-74015.0,-209858.0,-0.3125481199164376,-0.3112169340598906,-1
2025-01,Andhra Pradesh,Vizianagaram,80,35279.0,105195.0,435.5432098765432,1298.7037037037037,-0.4977113365367503,,,3.166694445330699,3.1744200568422376,-1
2025-01,Andhra Pradesh,West Godavari,143,57687.0,144894.0,400.6041666666667,1006.2083333333334,-0.4304775350228549,,,3.166340688954978,3.17421434092752,-1
2025-02,Andhra Pradesh,West Godavari,244,3864.0,2736.0,15.771428571428572,11.16734693877551,0.1708831995152249,-53823.0,-142158.0,-0.3182038243857187,-0.3177254718581822,-1
2025-01,Andhra Pradesh,Y. S. R,20,15829.0,5257.0,753.7619047619048,250.33333333333331,0.5013515436050647,,,3.1726864933117818,3.171857664499904,-1
2025-01,Arunachal Pradesh,Namsai,2,704.0,3664.0,234.66666666666663,1221.3333333333333,-0.6775005722133212,,,3.1218043387055334,3.1654540818100148,-1
